"","Species Richness","# Species > 100kg","% Small-Sized*","% Large-Sized*","% Carnivore","% Herbivore","Dispersion of % Plant in Diet","Mean % Plant in Diet","Mean Range Size","Dispersion of Range Size","Human Footprint","Deforestation","Mean Annual Temp","Mean Temp Seasonality","Mean Max Temp","Mean Min Temp","Mean Annual Precip","Mean Precip Seasonality","Mean Elevation"
"Species Richness",1,0.543264603990116,-0.105326952546574,-0.0964561706010705,-0.166388293169321,-0.135390892374794,-0.283231876873612,0.13894433785083,-0.471334818461415,0.234854502613554,0.237669137638818,0.206213833622757,0.371307568646424,-0.538008598514663,0.114360096054651,0.445536584771187,0.556839526985105,0.112855138099727,0.211813307169812
"# Species > 100kg",0.543264603990116,1,-0.339217770583879,0.526071055256537,0.176488608282174,0.0655767973492709,0.149563699441293,-0.00929000864320763,-0.0163343651629887,-0.070087689824779,0.0841136792488873,-0.0413198806259635,0.0449819838895806,-0.169175882994878,-0.0702517453541684,0.0776363622540683,0.0659901582197185,0.228532711134988,0.222195721990862
"% Small-Sized*",-0.105326952546574,-0.339217770583879,1,-0.660975893309983,0.227628741987428,0.00847844339695939,-0.137511312893695,0.040876741419311,-0.0781453112830638,0.128200282274905,0.0866516553308552,-0.103239437705905,-0.318056506048232,0.379120425217502,-0.173609850773593,-0.341681147104963,-0.128420072631223,-0.349891894956459,-0.0508671519405113
"% Large-Sized*",-0.0964561706010705,0.526071055256537,-0.660975893309983,1,0.130555359474927,0.1768583788251,0.372479682004514,-0.0206565213225488,0.396340604178745,-0.229045504171578,-0.130951035189896,-0.12384255494599,-0.194589007404329,0.137780597928192,-0.176794250253644,-0.188404902454177,-0.278368168625667,0.271935061259253,0.159908582347165
"% Carnivore",-0.166388293169321,0.176488608282174,0.227628741987428,0.130555359474927,1,0.017675520482328,0.725848185664367,-0.638452625774736,0.261331381320795,-0.238877228408299,-0.0732533833554831,-0.0614908507222171,-0.400610195309809,0.341504363443022,-0.33686964550457,-0.390630231892697,-0.162778649215639,-0.110647387898806,-0.0990441392092802
"% Herbivore",-0.135390892374794,0.0655767973492709,0.00847844339695939,0.1768583788251,0.017675520482328,1,0.245007021956501,0.552520967342135,0.0126056426060119,0.034895491394718,-0.280260966884054,-0.0660651230291407,-0.505602436414919,0.335823094243712,-0.512552826889635,-0.465547400237451,-0.214164844374903,-0.0589413117575927,0.351046163880752
"Dispersion of % Plant in Diet",-0.283231876873612,0.149563699441293,-0.137511312893695,0.372479682004514,0.725848185664367,0.245007021956501,1,-0.515004473410291,0.365348045539405,-0.289221732320406,-0.180673965762469,-0.0682575450183641,-0.451359927931119,0.347080339594191,-0.415327753313476,-0.423707889210561,-0.253282500753753,-0.02532151606874,-0.093207395877828
"Mean % Plant in Diet",0.13894433785083,-0.00929000864320763,0.040876741419311,-0.0206565213225488,-0.638452625774736,0.552520967342135,-0.515004473410291,1,-0.179326083774483,0.214291069363629,-0.041936771577709,-0.00232389077794417,-0.12846658713443,0.0508988044980226,-0.174882364734959,-0.0981537856011958,0.0576826247780151,-0.074806335083258,0.317057485445481
"Mean Range Size",-0.471334818461415,-0.0163343651629887,-0.0781453112830638,0.396340604178745,0.261331381320795,0.0126056426060119,0.365348045539405,-0.179326083774483,1,-0.741713736371789,-0.241799412008491,-0.105155611112572,-0.522018455984161,0.643180728381602,-0.26947444782531,-0.588680349793924,-0.445782266003466,-0.0817327214262016,-0.200452175219204
"Dispersion of Range Size",0.234854502613554,-0.070087689824779,0.128200282274905,-0.229045504171578,-0.238877228408299,0.034895491394718,-0.289221732320406,0.214291069363629,-0.741713736371789,1,0.281482174832882,-0.0210095386006435,0.271982418085986,-0.372846785829806,0.104594994941698,0.338555324941335,0.180632063668339,0.0189762162622094,0.23044890953823
"Human Footprint",0.237669137638818,0.0841136792488873,0.0866516553308552,-0.130951035189896,-0.0732533833554831,-0.280260966884054,-0.180673965762469,-0.041936771577709,-0.241799412008491,0.281482174832882,1,-0.0509877621649641,0.257964176338827,-0.246356914471427,0.173550485955824,0.280603306419648,0.205858912483911,0.029350259031586,-0.0577109768447784
"Deforestation",0.206213833622757,-0.0413198806259635,-0.103239437705905,-0.12384255494599,-0.0614908507222171,-0.0660651230291407,-0.0682575450183641,-0.00232389077794417,-0.105155611112572,-0.0210095386006435,-0.0509877621649641,1,0.177511088476347,-0.242979614790298,0.0645998218947863,0.212757406605133,0.33427918826419,-0.0219191245678174,-0.092580232342835
"Mean Annual Temp",0.371307568646424,0.0449819838895806,-0.318056506048232,-0.194589007404329,-0.400610195309809,-0.505602436414919,-0.451359927931119,-0.12846658713443,-0.522018455984161,0.271982418085986,0.257964176338827,0.177511088476347,1,-0.857350647186054,0.863835791528993,0.968506342438968,0.36771689210634,0.312998904539662,-0.196566520448259
"Mean Temp Seasonality",-0.538008598514663,-0.169175882994878,0.379120425217502,0.137780597928192,0.341504363443022,0.335823094243712,0.347080339594191,0.0508988044980226,0.643180728381602,-0.372846785829806,-0.246356914471427,-0.242979614790298,-0.857350647186054,1,-0.497203360770467,-0.946540708309217,-0.569206335843503,-0.185742181379396,-0.00129633025109088
"Mean Max Temp",0.114360096054651,-0.0702517453541684,-0.173609850773593,-0.176794250253644,-0.33686964550457,-0.512552826889635,-0.415327753313476,-0.174882364734959,-0.26947444782531,0.104594994941698,0.173550485955824,0.0645998218947863,0.863835791528993,-0.497203360770467,1,0.72598592947172,0.0336322947260193,0.363331472799699,-0.291656764449078
"Mean Min Temp",0.445536584771187,0.0776363622540683,-0.341681147104963,-0.188404902454177,-0.390630231892697,-0.465547400237451,-0.423707889210561,-0.0981537856011958,-0.588680349793924,0.338555324941335,0.280603306419648,0.212757406605133,0.968506342438968,-0.946540708309217,0.72598592947172,1,0.494178773838598,0.216555866881932,-0.170531667104339
"Mean Annual Precip",0.556839526985105,0.0659901582197185,-0.128420072631223,-0.278368168625667,-0.162778649215639,-0.214164844374903,-0.253282500753753,0.0576826247780151,-0.445782266003466,0.180632063668339,0.205858912483911,0.33427918826419,0.36771689210634,-0.569206335843503,0.0336322947260193,0.494178773838598,1,-0.194384865269149,-0.172499498247929
"Mean Precip Seasonality",0.112855138099727,0.228532711134988,-0.349891894956459,0.271935061259253,-0.110647387898806,-0.0589413117575927,-0.02532151606874,-0.074806335083258,-0.0817327214262016,0.0189762162622094,0.029350259031586,-0.0219191245678174,0.312998904539662,-0.185742181379396,0.363331472799699,0.216555866881932,-0.194384865269149,1,0.227390820870519
"Mean Elevation",0.211813307169812,0.222195721990862,-0.0508671519405113,0.159908582347165,-0.0990441392092802,0.351046163880752,-0.093207395877828,0.317057485445481,-0.200452175219204,0.23044890953823,-0.0577109768447784,-0.092580232342835,-0.196566520448259,-0.00129633025109088,-0.291656764449078,-0.170531667104339,-0.172499498247929,0.227390820870519,1
